Folder,File,Functions,Classes
.,,,
.,__init__.py,,
.,setup.py,,
.,mapping_data.py,"count_functions, traverse_directory, write_csv",
.,check_file.py,checkMerge,
superpilot.egg-info,,,
superpilot,,,
superpilot,__init__.py,,
superpilot,main.py,,
superpilot/core,,,
superpilot/core,__init__.py,,
superpilot/core,singleton.py,__call__,"Singleton, AbstractSingleton"
superpilot/core,status.py,"print_status, display","ShortStatus, Status"
superpilot/core/configuration,,,
superpilot/core/configuration,config.py,"get_config, build_config_from_env, load_env","Config, ConfigBuilder"
superpilot/core/configuration,__init__.py,,
superpilot/core/configuration,goal.py,"config_to_goal, save_goal, fetch_goal",
superpilot/core/configuration,schema.py,"UserConfigurable, _get_user_config_fields, deep_update, get_user_config, get_user_config, build_configuration, setup_workspace, load_environment_settings, load_environment_settings_goal, save_environment_settings_goal","SystemConfiguration, SystemSettings, Configurable, WorkspaceConfiguration, WorkspaceSettings, WorkspaceSetup, Config, Config"
superpilot/core/context,,,
superpilot/core/context,__init__.py,,
superpilot/core/context,schema.py,"description, type, source, content, __str__, summary, source, content, description, source, content, description, __post_init__, description, source, content, type, description, add_content_item, create_model_class, __str__, __init__, extend, __bool__, add, add_content, close, clear, count, format_numbered, __str__, dict, to_file, check_name, check_missing_fields","ContentType, ContentItem, FileContentItem, ImageContentItem, FolderContentItem, Content, Context"
superpilot/core/app,,,
superpilot/core/app,plugin_loader.py,"__init__, __init__, search_plugin, factory","PluginSchema, PluginContainer"
superpilot/core/app,thread_manager.py,"get_task, test_query_planner, process_block, manual_testing, main, __init__, start_executor, execute_goal, push_to_queue, pop_from_queue",ThreadManager
superpilot/core/app,__init__.py,,
superpilot/core/app,app_manager.py,"__init__, predict_query_type, get_content, generate_prompt, __init__, create_task, process_tasks, update_task_status","QueryProcessor, TaskManager"
superpilot/core/app,executor.py,main,
superpilot/core/memory,,,
superpilot/core/memory,__init__.py,,
superpilot/core/memory,settings.py,,"MemoryConfiguration, MemorySettings"
superpilot/core/memory,simple.py,"__init__, __init__, _load_message_history","MessageHistory, SimpleMemory"
superpilot/core/memory,base.py,,"Memory, MemoryItem, MessageHistory"
superpilot/core/workspace,,,
superpilot/core/workspace,__init__.py,,
superpilot/core/workspace,simple.py,"__init__, root, debug_log_path, cycle_log_path, configuration_path, restrict_to_workspace, get_path, _sanitize_path",SimpleWorkspace
superpilot/core/workspace,base.py,"root, restrict_to_workspace, get_path",Workspace
superpilot/core/embedding,,,
superpilot/core/embedding,__init__.py,,
superpilot/core/embedding,settings.py,,"EmbeddingModelConfiguration, EmbeddingModelSettings"
superpilot/core/embedding,simple.py,__init__,SimpleEmbeddingModel
superpilot/core/embedding,base.py,,"EmbeddingModelResponse, EmbeddingModel"
superpilot/core/plugin,,,
superpilot/core/plugin,utlis.py,load_class,
superpilot/core/plugin,research.py,"get_plugin, load_from_file_path, load_from_import_path, resolve_name_to_path, load_from_workspace, load_from_installed_package",ResearchPluginService
superpilot/core/plugin,__init__.py,,
superpilot/core/plugin,simple.py,"get_plugin, load_from_file_path, load_from_import_path, resolve_name_to_path, load_from_workspace, load_from_installed_package",SimplePluginService
superpilot/core/plugin,base.py,"get_plugin, load_from_file_path, load_from_import_path, resolve_name_to_path, load_from_workspace, load_from_installed_package","PluginStorageFormat, PluginLocation, PluginMetadata, PluginService"
superpilot/core/planning,,,
superpilot/core/planning,__init__.py,,
superpilot/core/planning,templates.py,,
superpilot/core/planning,settings.py,,"LanguageModelConfiguration, PromptStrategyConfiguration, PromptStrategiesConfiguration, PlannerConfiguration, PlannerSettings"
superpilot/core/planning,simple.py,"get_os_info, __init__, _make_template_kwargs_for_strategy",SimplePlanner
superpilot/core/planning,base.py,"model_classification, build_prompt, parse_response_content",PromptStrategy
superpilot/core/planning,schema.py,"get_messages, get_functions, get_function_call, __str__, factory, generate_kwargs","LanguageModelClassification, LanguageModelPrompt, LanguageModelResponse, TaskType, TaskStatus, TaskContext, Task, ExecutionNature, StepType"
superpilot/core/planning/strategies,,,
superpilot/core/planning/strategies,step_strategy.py,"__init__, model_classification, build_prompt, parse_response_content","StepStrategyConfiguration, StepStrategy"
superpilot/core/planning/strategies,summarizer_strategy.py,"__init__, model_classification, build_prompt, parse_response_content","SummarizerConfiguration, SummarizerStrategy"
superpilot/core/planning/strategies,next_ability.py,"__init__, model_classification, build_prompt, parse_response_content","NextAbilityConfiguration, NextAbility"
